"mzn","version","dzn","solver","timeout","n","mode","learning","solution","proof_of_opt","runtime","failures","restarts","propagations","propagators","peakDepth","nogoods","backjumps","nSolutions","unsat"
"toy.mzn","Gini","toy_30_33.dzn","Chuffed",1200000,30,"Dcmp","True","TIMEOUT/ERROR","False","80","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","True"
"toy.mzn","Gini","toy_31_32.dzn","Chuffed",1200000,31,"Dcmp","True","TIMEOUT/ERROR","False","1201200","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","0","False"
"toy.mzn","Spread","toy_40_41.dzn","Chuffed",1200000,40,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Gini","toy_36_37.dzn","Chuffed",1200000,36,"Dcmp","True","TIMEOUT/ERROR","False","100","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","True"
"toy.mzn","Gini","toy_37_38.dzn","Chuffed",1200000,37,"Dcmp","True","TIMEOUT/ERROR","False","100","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","True"
"toy.mzn","Spread","toy_9_11.dzn","Chuffed",1200000,9,"Dcmp","True","68454","True","412010","828308","3021","44110136","18","50","828308","104928","3020","False"
"toy.mzn","Spread","toy_2_5.dzn","Chuffed",1200000,2,"Dcmp","True","25","True","90","4","2","145","11","3","4","1","2","False"
"toy.mzn","Spread","toy_16_19.dzn","Chuffed",1200000,16,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Spread","toy_22_24.dzn","Chuffed",1200000,22,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Gini","toy_36_39.dzn","Chuffed",1200000,36,"Dcmp","True","TIMEOUT/ERROR","False","100","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","True"
"toy.mzn","Spread","toy_18_20.dzn","Chuffed",1200000,18,"Dcmp","True","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR"
"toy.mzn","Gini","toy_30_34.dzn","Chuffed",1200000,30,"Dcmp","True","TIMEOUT/ERROR","False","1201120","2042","0","722788900","1027","27","2042","832","0","False"
"toy.mzn","Gini","toy_20_24.dzn","Chuffed",1200000,20,"Dcmp","True","4573","False","1200244","995231","32","1009977486","421","184","995231","63295","31","False"
"toy.mzn","Gini","toy_13_17.dzn","Chuffed",1200000,13,"Dcmp","True","2904","False","1199997","2250936","124","722365261","193","215","2250936","246983","123","False"
